"WP NAME","COORDINATES","LATITUDE","LONGITUDE","TIME AT WAYPOINT","TIME WHEN LEAVING","SOG (kn)","RPM","ENGINE LOAD (%)","FUEL CONSUMPTION (mt)","DAILY FUEL CONSUMPTION (mt/d)","DISTANCE (nm)","WIND SPEED (m/s)","WIND DIRECTION (deg)","SEA AND TIDAL CURRENT SPEED (kn)","SEA AND TIDAL CURRENT DIRECTION (deg)","SIGNIFICANT WAVE HEIGHT (m)","WAVE DIRECTION (deg)","WAVE PERIOD (s)","SIGNIFICANT SWELL HEIGHT (m)","SWELL DIRECTION (deg)","SWELL PERIOD (s)","WATER DEPTH (m)"
#1,N 31:06.050 E 123:02.092,31.100832408030996,123.03486999996272,2022-10-09 16:00:00 +00:00,2022-10-09 16:00:00 +00:00,,,,,,,12.1,331,0.6,163,1.8,337,4.8,0.5,56,6.0,57
#2,N 31:06.882 E 123:03.873,31.114707599761505,123.06454704637886,2022-10-09 16:05:13 +00:00,2022-10-09 16:05:13 +00:00,20.0,70,54.4,0.508,140.3,1.7,12.1,331,0.5,164,1.8,337,4.9,0.5,56,6.0,60
#3,N 32:05.686 E 125:13.358,32.0947673,125.2226395,2022-10-09 22:20:45 +00:00,2022-10-09 22:20:45 +00:00,20.0,70,55.0,38.052,145.9,125.2,12.1,322,0.2,167,2.4,322,5.9,0.5,313,7.2,47
#4,N 32:13.660 E 125:31.876,32.227665620763595,125.53127285116184,2022-10-09 23:13:36 +00:00,2022-10-09 23:13:36 +00:00,20.0,70,54.7,5.330,145.2,17.6,12.1,321,0.1,323,2.6,318,6.1,0.4,357,7.9,62
#5,N 32:59.324 E 126:39.249,32.9887360583171,126.65414564500765,2022-10-10 02:52:20 +00:00,2022-10-10 02:52:20 +00:00,20.0,69,53.1,21.444,141.2,72.9,10.9,302,0.2,63,2.2,297,5.5,0.3,261,7.7,104
#6,N 33:08.437 E 127:00.502,33.1406165,127.0083696,2022-10-10 03:52:28 +00:00,2022-10-10 03:52:28 +00:00,20.0,66,45.2,5.056,121.1,20.0,8.4,304,0.4,41,1.2,304,4.3,0.7,262,5.9,104
#7,N 34:22.246 E 128:56.041,34.370772423862064,128.934024631399,2022-10-10 09:56:17 +00:00,2022-10-10 09:56:17 +00:00,20.0,66,44.0,29.816,118.0,121.3,13.9,286,1.0,37,2.0,269,5.0,0.5,223,6.5,108
#8,N 34:39.421 E 129:05.279,34.65701831328151,129.08798055551293,2022-10-10 10:52:35 +00:00,2022-10-10 10:52:35 +00:00,20.0,66,45.5,4.764,121.8,18.8,13.9,283,1.1,24,1.7,266,4.7,0.6,219,6.0,117
#9,N 35:05.536 E 129:29.288,35.09226863285396,129.48813570337296,2022-10-10 12:30:43 +00:00,2022-10-10 12:30:43 +00:00,20.0,64,41.3,7.580,111.2,32.7,13.5,276,1.0,47,1.4,257,4.2,0.6,212,5.3,131
#10,N 35:21.072 E 129:49.997,35.3512082,129.8332895,2022-10-10 13:39:41 +00:00,2022-10-10 13:39:41 +00:00,20.0,63,39.1,5.061,105.7,23.0,13.7,271,0.7,25,1.6,254,4.5,0.5,205,5.6,157
#11,N 39:05.793 E 135:50.236,39.09654483206538,135.83726012036718,2022-10-11 07:53:57 +00:00,2022-10-11 07:53:57 +00:00,20.0,66,44.2,90.112,118.6,364.8,10.6,300,0.5,87,2.1,298,5.6,2.9,257,8.0,2559
