LATITUDE,LONGITUDE,TIME AT WAYPOINT
31.23333333,121.4833333,2023-09-17 09:40:00 +00:00
31.2352123,121.4900762,2023-09-17 09:42:10 +00:00
31.2295658,121.4972814,2023-09-17 09:45:09 +00:00
31.2286682,121.499115,2023-09-17 09:45:48 +00:00
31.2303925,121.4979401,2023-09-17 09:46:31 +00:00
31.2358939,121.4910164,2023-09-17 09:49:23 +00:00
31.2371826,121.4898987,2023-09-17 09:49:58 +00:00
31.238292,121.489334,2023-09-17 09:50:24 +00:00
31.2395171,121.4890644,2023-09-17 09:50:50 +00:00
31.2407808,121.4889283,2023-09-17 09:51:17 +00:00
31.2418713,121.4890213,2023-09-17 09:51:41 +00:00
31.2429377,121.489334,2023-09-17 09:52:04 +00:00
31.2437518,121.4900938,2023-09-17 09:52:27 +00:00
31.2451935,121.4918213,2023-09-17 09:53:11 +00:00
31.2463086,121.4936385,2023-09-17 09:53:52 +00:00
31.2470552,121.4955526,2023-09-17 09:54:31 +00:00
31.2478395,121.4975549,2023-09-17 09:55:11 +00:00
31.248398,121.4996562,2023-09-17 09:55:52 +00:00
31.2490746,121.504042,2023-09-17 09:57:14 +00:00
31.2493142,121.5076529,2023-09-17 09:58:21 +00:00
31.2491383,121.5112002,2023-09-17 09:59:26 +00:00
31.2481559,121.5185789,2023-09-17 10:01:44 +00:00
31.2484403,121.5236299,2023-09-17 10:03:17 +00:00
31.2492515,121.5281835,2023-09-17 10:04:43 +00:00
31.2500565,121.5306587,2023-09-17 10:05:32 +00:00
31.2509162,121.5329256,2023-09-17 10:06:17 +00:00
31.2519713,121.5350149,2023-09-17 10:07:02 +00:00
31.2548147,121.5396558,2023-09-17 10:08:47 +00:00
31.2597799,121.5472491,2023-09-17 10:11:42 +00:00
31.2638245,121.552536,2023-09-17 10:13:53 +00:00
31.2687786,121.5584305,2023-09-17 10:16:25 +00:00
31.2705127,121.5602829,2023-09-17 10:17:15 +00:00
31.2733307,121.5628139,2023-09-17 10:18:31 +00:00
31.276084,121.5646932,2023-09-17 10:19:40 +00:00
31.2774636,121.5653459,2023-09-17 10:20:12 +00:00
31.2787517,121.5657456,2023-09-17 10:20:40 +00:00
31.2806524,121.5661662,2023-09-17 10:21:22 +00:00
31.2820262,121.5663932,2023-09-17 10:21:51 +00:00
31.2842029,121.5663206,2023-09-17 10:22:38 +00:00
31.286071,121.566104,2023-09-17 10:23:18 +00:00
31.2892186,121.5653036,2023-09-17 10:24:27 +00:00
31.2910784,121.5644957,2023-09-17 10:25:09 +00:00
31.2959994,121.5616721,2023-09-17 10:27:06 +00:00
31.3003279,121.559508,2023-09-17 10:28:46 +00:00
31.3032089,121.5586259,2023-09-17 10:29:50 +00:00
31.3058574,121.5580488,2023-09-17 10:30:47 +00:00
31.3083344,121.5579224,2023-09-17 10:31:40 +00:00
31.3213144,121.5592999,2023-09-17 10:36:19 +00:00
31.3243425,121.5589818,2023-09-17 10:37:24 +00:00
31.327974,121.5580663,2023-09-17 10:38:43 +00:00
31.3315143,121.5568892,2023-09-17 10:40:01 +00:00
31.3330073,121.5561504,2023-09-17 10:40:36 +00:00
31.3344226,121.5551634,2023-09-17 10:41:11 +00:00
31.3373846,121.5524193,2023-09-17 10:42:32 +00:00
31.3389151,121.5506457,2023-09-17 10:43:18 +00:00
31.3399988,121.5488734,2023-09-17 10:43:58 +00:00
31.3407053,121.5472306,2023-09-17 10:44:32 +00:00
31.3422121,121.5429272,2023-09-17 10:45:57 +00:00
31.3474579,121.5253906,2023-09-17 10:51:37 +00:00
31.3529513,121.5122895,2023-09-17 10:56:04 +00:00
31.3535293,121.5111878,2023-09-17 10:56:28 +00:00
31.3550823,121.5083516,2023-09-17 10:57:30 +00:00
31.3576221,121.5046884,2023-09-17 10:58:56 +00:00
31.359924,121.5023025,2023-09-17 11:00:02 +00:00
31.3615605,121.4987009,2023-09-17 11:01:17 +00:00
31.3640056,121.4998659,2023-09-17 11:02:14 +00:00
31.3654667,121.4993278,2023-09-17 11:02:47 +00:00
31.367327,121.4987898,2023-09-17 11:03:28 +00:00
31.3690752,121.4985103,2023-09-17 11:04:06 +00:00
31.37175,121.4984938,2023-09-17 11:05:03 +00:00
31.3810719,121.5013023,2023-09-17 11:08:30 +00:00
31.3837294,121.502888,2023-09-17 11:09:34 +00:00
31.3867134,121.5053858,2023-09-17 11:10:53 +00:00
31.3900021,121.508899,2023-09-17 11:12:29 +00:00
31.3923428,121.5128706,2023-09-17 11:13:57 +00:00
31.3949278,121.5213489,2023-09-17 11:16:43 +00:00
31.3966069,121.5322029,2023-09-17 11:20:05 +00:00
31.3852031,121.5780658,2023-09-17 11:34:42 +00:00
31.3583236,121.6334196,2023-09-17 11:54:12 +00:00
31.3485468,121.6535491,2023-09-17 12:01:18 +00:00
31.346396,121.6579774,2023-09-17 12:02:52 +00:00
31.3355469,121.6803118,2023-09-17 12:10:46 +00:00
31.3228269,121.7123373,2023-09-17 12:21:39 +00:00
31.3017539,121.7699775,2023-09-17 12:40:58 +00:00
31.2938323,121.791642,2023-09-17 12:48:14 +00:00
31.2932948,121.7931117,2023-09-17 12:48:44 +00:00
31.2681531,121.861858,2023-09-17 13:11:50 +00:00
31.2319794,122.0800171,2023-09-17 14:20:26 +00:00
31.2277669,122.093187,2023-09-17 14:24:46 +00:00
31.2221176,122.1066222,2023-09-17 14:29:23 +00:00
31.1671278,122.1951299,2023-09-17 15:03:10 +00:00
31.1084259,122.2938985,2023-09-17 15:40:06 +00:00
31.1024104,122.3063367,2023-09-17 15:44:27 +00:00
31.1011231,122.3218221,2023-09-17 15:49:14 +00:00
31.1014277,122.3856746,2023-09-17 16:08:50 +00:00
31.1019675,122.4969785,2023-09-17 16:43:01 +00:00
31.0976757,122.5226726,2023-09-17 16:50:57 +00:00
31.0976801,122.5382766,2023-09-17 16:55:44 +00:00
31.1790131,122.620874,2023-09-17 17:36:29 +00:00
31.32061719,122.7916093,2023-09-17 18:49:16 +00:00
